InsertionSort;MergeSort;QuickSort
1227;9.48E-4;0.037685;0.606228
1228;0.001023;0.037821;0.647869
1229;0.001048;0.037885;0.669706
1230;9.99E-4;0.039115;0.648633
1231;9.48E-4;0.044586;0.653618
1232;0.001025;0.03909;0.669799
1233;0.001001;0.037959;0.610789
1234;0.001003;0.037965;0.614096
1235;9.44E-4;0.037936;0.613165
1236;0.001006;0.038126;0.613033
1237;0.00103;0.038338;0.708583
1238;0.001014;0.044496;0.674357
1239;9.5E-4;0.038237;0.634974
1240;0.001024;0.036303;0.628558
1241;0.001027;0.037943;0.618132
1242;0.001013;0.03574;1.021209
1243;0.00104;0.036433;0.749917
1244;0.001021;0.035826;0.643974
1245;0.001029;0.036719;0.678273
1246;9.46E-4;0.036577;0.677412
1247;0.001032;0.036563;0.641362
1248;0.001035;0.036507;0.624689
1249;0.001035;0.036904;0.626417
1250;9.52E-4;0.10657;1.222478
1251;0.001017;0.051628;0.744437
1252;9.84E-4;0.040041;0.698202
1253;0.001094;0.040822;0.637758
1254;0.00114;0.036601;1.088221
1255;0.001166;0.038637;0.844999
1256;0.001069;0.037328;0.632924
1257;9.8E-4;0.037382;0.635992
1258;0.001055;0.037284;1.151244
1259;0.001077;0.037246;0.714522
1260;9.9E-4;0.037224;0.663143
1261;0.001053;0.037401;0.641626
1262;0.001018;0.037467;0.653815
1263;0.001064;0.037289;0.639174
1264;9.71E-4;0.036807;0.645473
1265;0.00108;0.03745;0.653387
1266;0.001045;0.036306;1.091905
1267;9.78E-4;0.036202;0.750131
1268;0.00106;0.036969;0.661451
1269;0.00102;0.037125;0.660156
1270;0.001063;0.040016;0.694978
1271;0.0011;0.037494;0.77264
1272;0.001058;0.037323;0.649663
1273;0.00103;0.037698;0.820866
1274;9.29E-4;0.037565;0.704418
1275;9.99E-4;0.03753;0.715776
1276;0.001094;0.037557;0.671852
1277;0.001031;0.040007;0.703249
1278;0.001126;0.037678;0.712896
1279;0.001147;0.038018;0.683079
1280;9.88E-4;0.036454;0.683788
1281;0.001018;0.037695;0.657015
1282;0.001192;0.036747;0.687045
1283;0.001119;0.036532;0.729791
1284;0.001148;0.039763;0.664181
1285;0.001006;0.037983;0.661218
1286;0.001191;0.039574;0.706567
1287;0.001137;0.03937;0.716229
1288;0.001177;0.039333;0.7659
1289;0.001138;0.039692;0.669584
1290;0.001198;0.040135;0.726698
1291;0.001217;0.038139;0.926939
1292;0.001127;0.038104;0.684287
1293;0.001209;0.039617;0.671587
1294;0.001195;0.038269;0.672105
1295;0.001053;0.038458;0.727289
1296;0.001191;0.038121;0.673065
1297;0.001003;0.038361;0.673329
1298;0.001131;0.038495;1.219986
1299;0.001226;0.038575;0.836287
1300;0.001174;0.038491;0.676623
1301;0.001126;0.038578;0.681687
1302;0.001174;0.03869;0.707857
1303;0.001145;0.038443;0.740571
1304;0.001197;0.038505;0.798306
1305;0.001095;0.038893;0.681644
1306;0.001124;0.038651;1.090376
1307;0.001169;0.03884;0.777259
1308;0.001218;0.038556;0.684881
1309;0.001222;0.038771;0.686432
1310;0.001175;0.038784;0.752194
1311;0.001308;0.065292;0.754312
1312;0.001214;0.040492;0.706002
1313;0.001202;0.043973;0.737411
1314;0.001192;0.040726;0.743018
1315;0.001219;0.040283;0.692375
1316;0.001049;0.04429;0.706429
1317;0.00122;0.040427;0.695213
1318;0.001081;0.04037;0.697803
1319;0.001287;0.040308;0.769617
1320;0.001264;0.04044;0.780552
1321;0.001275;0.044419;0.730012
1322;0.001254;0.041424;0.772439
1323;0.001216;0.040869;0.731528
1324;0.001161;0.040663;0.704952
1325;0.001259;0.043526;0.701824
1326;0.001169;0.03921;1.169807
1327;0.001068;0.039217;0.894142
1328;0.001195;0.039031;0.705559
1329;0.001202;0.039409;0.707127
1330;0.001091;0.039746;0.750467
1331;0.001013;0.039603;0.777653
1332;0.001148;0.040391;0.756555
1333;0.00111;0.03957;0.770832
1334;0.001208;0.040236;0.745551
1335;0.001172;0.03943;0.718286
1336;0.001254;0.039367;0.714008
1337;0.00122;0.03964;0.714794
1338;0.00119;0.03955;1.10369
1339;0.001196;0.039817;1.387717
1340;0.001198;0.039711;1.289276
1341;0.001207;0.039751;0.912737
1342;0.001238;0.041938;0.834419
1343;0.001229;0.039614;1.144657
1344;0.001218;0.042202;0.84415
1345;0.001252;0.039797;0.736457
1346;0.001274;0.040049;0.731553
1347;0.001219;0.039733;1.14777
1348;0.001234;0.039724;0.896348
1349;0.001282;0.039917;0.765727
1350;0.001292;0.039926;0.750549
1351;0.001301;0.039901;0.739943
1352;0.001249;0.039895;0.730957
1353;0.001307;0.040767;0.73163
1354;0.001296;0.040271;0.777955
1355;0.001238;0.042468;0.818054
1356;0.001275;0.040117;0.799598
1357;0.001294;0.040293;0.848949
1358;0.00114;0.040584;0.878722
1359;0.001242;0.04042;1.064193
1360;0.001289;0.040258;0.822713
1361;0.001164;0.040543;0.846856
1362;0.001054;0.040546;0.75357
1363;0.001242;0.040314;0.761606
1364;0.001149;0.040367;0.74385
1365;0.001209;0.04051;1.113297
1366;0.001216;0.040554;0.908315
1367;0.001264;0.040523;0.793847
1368;0.001269;0.040517;0.825527
1369;0.001224;0.040839;0.77829
1370;0.001242;0.040677;0.78007
1371;0.001287;0.040605;0.956234
1372;0.001251;0.040762;0.789405
1373;0.00127;0.042792;0.779804
1374;0.001203;0.048244;1.315947
1375;0.001246;0.053742;0.836405
1376;0.001294;0.040823;0.816783
1377;0.001235;0.040986;0.760351
1378;0.001258;0.041097;0.77496
1379;0.001272;0.04092;1.255787
1380;0.001286;0.040893;0.780124
1381;0.001289;0.041036;0.762442
1382;0.001162;0.043107;1.021835
1383;0.001293;0.04278;0.841799
1384;0.001233;0.042457;1.236367
1385;0.001075;0.04269;0.873941
1386;0.001302;0.042661;0.773305
1387;0.001213;0.042519;0.787489
1388;0.001314;0.042544;0.775178
1389;0.001329;0.042693;0.769196
1390;0.001324;0.04296;0.772834
1391;0.001316;0.042908;0.812986
1392;0.001344;0.046106;0.890684
1393;0.001333;0.042726;0.824168
1394;0.001328;0.042794;0.82811
1395;0.00132;0.042668;0.810006
1396;0.001251;0.048005;0.783643
1397;0.001286;0.04807;0.780829
1398;0.001302;0.044451;0.800319
1399;0.00131;0.044766;1.001369
1400;0.001029;0.040546;0.865959
1401;0.001331;0.040034;0.803124
1402;0.001328;0.040905;0.840553
1403;0.001246;0.040715;0.935672
1404;0.001306;0.040681;0.803592
1405;0.001147;0.04081;0.790561
1406;0.001048;0.040844;0.795148
1407;0.00105;0.040552;0.87377
1408;0.00108;0.040621;1.103285
1409;0.001237;0.040926;1.138736
1410;0.001221;0.044594;0.843373
1411;0.001317;0.043327;1.063059
1412;0.001248;0.04305;0.810715
1413;0.001278;0.042171;0.804986
1414;0.001224;0.04228;0.800294
1415;0.001344;0.041791;0.798341
1416;0.001348;0.041836;0.862576
1417;0.001306;0.042353;0.87023
1418;0.001272;0.042088;0.888354
1419;0.001116;0.041812;0.805452
1420;0.001025;0.042342;0.810966
1421;0.001207;0.042138;1.196789
1422;9.51E-4;0.041964;1.004443
1423;0.001145;0.041979;0.903651
1424;0.001042;0.041967;0.847355
1425;8.97E-4;0.042151;0.881787
1426;9.52E-4;0.042365;0.866665
1427;0.001096;0.04233;0.960046
1428;9.67E-4;0.042451;0.81797
1429;0.001071;0.042453;0.81511
1430;0.001059;0.042617;1.010305
1431;0.001194;0.042676;1.098862
1432;0.001158;0.042261;0.874717
1433;0.001061;0.0427;0.856909
1434;0.001069;0.04265;0.820695
1435;0.001016;0.042744;0.825633
1436;0.001336;0.042415;0.851791
1437;0.001219;0.042612;0.885579
1438;0.001255;0.042633;0.842515
1439;0.001224;0.04835;0.837486
1440;0.001097;0.04338;1.343932
1441;0.001233;0.041094;0.872317
1442;0.001232;0.041242;0.877974
1443;0.001258;0.041126;0.916152
1444;0.001316;0.041099;0.853992
1445;0.001312;0.041296;0.832229
1446;0.001301;0.041418;1.197445
1447;0.001276;0.041177;1.003742
1448;0.001299;0.041132;0.897137
1449;0.00132;0.041339;0.968673
1450;0.00103;0.041291;0.895786
1451;0.001079;0.041472;0.854586
1452;0.001214;0.041284;1.072461
1453;0.001198;0.04146;1.14354
1454;0.001021;0.041274;0.896881
1455;0.001214;0.041525;0.923069
1456;0.001198;0.04121;0.936427
1457;0.001282;0.041585;0.902798
1458;0.001282;0.04167;1.015282
1459;0.001253;0.041315;1.262895
1460;0.001184;0.041269;1.132817
1461;0.001124;0.041668;0.875187
1462;0.00125;0.043452;0.856379
1463;0.001249;0.041453;0.854409
1464;0.001327;0.044918;1.02482
1465;0.001323;0.042459;1.253558
1466;0.001309;0.040961;0.948017
1467;0.001325;0.042452;0.866182
1468;0.001312;0.052621;0.912832
1469;0.001283;0.043551;1.017669
1470;0.001329;0.045804;1.073737
1471;0.001279;0.044689;1.221318
1472;0.001282;0.04641;0.941858
1473;0.0013;0.043777;0.906592
1474;0.0013;0.043859;0.880828
1475;0.001285;0.043622;0.86678
1476;0.001332;0.043516;0.978028
1477;0.001306;0.043767;1.045745
1478;0.001319;0.043989;0.928387
1479;0.001303;0.044322;0.937703
1480;0.001298;0.04567;0.874941
1481;0.001359;0.045318;0.90321
1482;0.001287;0.045429;0.927065
1483;0.001341;0.045282;0.981516
1484;0.001311;0.045855;0.965805
1485;0.001365;0.045312;0.979233
1486;0.001328;0.045377;1.061941
1487;0.001352;0.04561;0.924843
1488;0.00131;0.045888;0.881516
1489;0.001333;0.045624;0.889337
1490;0.001351;0.045593;0.902272
1491;0.001337;0.045623;1.08008
1492;0.001316;0.045731;1.006422
1493;0.00134;0.045724;0.936007
1494;0.001351;0.056286;0.927228
1495;0.001399;0.046266;0.902026
1496;0.00136;0.048566;0.89144
1497;0.001329;0.048379;0.903881
1498;0.001324;0.046593;0.983557
1499;0.001322;0.044097;0.966197
1500;0.001357;0.046105;0.953721
1501;0.001321;0.044407;0.91053
1502;0.001368;0.044377;0.90161
1503;0.001353;0.044364;0.898304
1504;0.001312;0.044295;0.900848
1505;0.001325;0.044645;0.986079
1506;0.001309;0.044845;0.992605
1507;0.001352;0.044679;0.972816
1508;0.00128;0.04446;0.927667
1509;0.001295;0.044751;0.905631
1510;0.001228;0.044728;0.912736
1511;0.001333;0.044692;1.032959
1512;0.001388;0.044894;1.013399
1513;0.001338;0.045014;0.960304
1514;0.001285;0.044955;0.971669
1515;0.001345;0.045199;0.92616
1516;0.001409;0.045063;1.007961
1517;0.001348;0.044887;1.010703
1518;0.001321;0.044871;0.990609
1519;0.001341;0.044675;0.997785
1520;0.001329;0.044655;0.974335
1521;0.001358;0.044919;0.968409
1522;0.001352;0.045115;0.927305
1523;0.001331;0.045321;1.097047
1524;0.001372;0.046825;0.94972
1525;0.00136;0.047928;1.005948
1526;0.001338;0.045664;0.994076
1527;0.001341;0.045076;0.931196
1528;0.00138;0.044935;0.980452
1529;0.001354;0.045279;1.046025
1530;0.00134;0.045167;1.060378
1531;0.001357;0.044936;1.412074
1532;0.001301;0.045267;0.940279
1533;0.001341;0.047114;1.401772
1534;0.001424;0.04644;1.221228
1535;0.001431;0.046343;1.041488
1536;0.001388;0.046937;1.056845
1537;0.001392;0.053514;1.181905
1538;0.001336;0.04698;1.093736
1539;0.001383;0.046589;1.063678
1540;0.001431;0.046713;1.242691
1541;0.001237;0.047129;1.085098
1542;0.001365;0.049089;1.045837
1543;0.001445;0.046634;1.045291
1544;0.001406;0.046444;1.056371
1545;0.001402;0.046854;1.060345
1546;0.00134;0.046749;1.051869
1547;0.001276;0.055474;1.071113
1548;0.001398;0.048336;1.047535
1549;0.001375;0.047476;1.069643
1550;0.001341;0.044643;1.028335
1551;0.001383;0.044271;1.103477
1552;0.001318;0.044185;1.1095
1553;0.00132;0.0446;1.073176
1554;0.001339;0.04576;1.034607
1555;0.001344;0.04464;1.067688
1556;0.001352;0.043815;1.00082
1557;0.001411;0.047858;1.090436
1558;0.00137;0.048585;1.070863
1559;0.001347;0.050808;1.122578
1560;0.001401;0.04565;1.391034
1561;0.001439;0.045738;1.265089
1562;0.001233;0.045753;1.098559
1563;0.001294;0.045707;1.132208
1564;0.001208;0.045602;1.06122
1565;0.001263;0.045905;1.100035
1566;0.001185;0.046453;1.2351
1567;0.001144;0.045652;1.092315
1568;0.001153;0.046116;1.239003
1569;0.001122;0.04596;1.484695
1570;0.001074;0.045991;1.134493
1571;0.001341;0.045971;1.080244
1572;0.001314;0.045848;1.117501
